
Entity Pair                                    Co-occurrences
barão sangrento /// hermione                                1
minerva /// quirrell                                        1
minerva /// srta                                            1
hermione granger /// profa                                  1
grifinória /// profa                                        1
grifinória /// hermione granger                             1
rony /// simas                                              1
hermione /// simas                                          1
fred /// olívio                                             1
marcos flint /// sonserina                                  1
alícia spinnet /// olívio wood                              1
alícia spinnet /// johnson                                  1
johnson /// olívio wood                                     1
bletchley /// fred                                          1
fred /// johnson                                            1
adriano pucey /// fred                                      1
bletchley /// jorge weasley                                 1
bletchley /// johnson                                       1
adriano pucey /// bletchley                                 1
johnson /// jorge weasley                                   1
adriano pucey /// jorge weasley                             1
adriano pucey /// johnson                                   1
pucey /// weasley                                           1
bell /// pucey                                              1
bell /// weasley                                            1
dino /// hagrid                                             1
bell /// spinnet                                            1
descobri /// hagrid                                         1
hagrid /// seja                                             1
seja /// snape                                              1
hermione /// nicolau flamel                                 1
flamel /// hagrid                                           1
flamel /// snape                                            1
madame pince /// rony                                       1
flamel /// hermione                                         1
hermione /// madame pince                                   1
flamel /// madame pince                                     1
fred /// j.                                                 1
j. /// jorge                                                1
forge /// jred                                              1
fred /// monitor                                            1
jorge /// monitor                                           1
madame /// rony                                             1
madame /// snape                                            1
dumbledore /// sim                                          1
prof /// senhor                                             1
falando /// snape                                           1
finja /// hermione                                          1
perenelle /// sr. flamel                                    1
aposto /// gringotes                                        1
aposto /// dumbledore                                       1
dumbledore /// gringotes                                    1
mal /// rony                                                1
harry /// mal                                               1
hermione /// mal                                            1
hermione /// locomotor mortis                               1
lufa-lufa /// snape                                         1
jorge weasley /// snape                                     1
dracos /// malfoy                                           1
draco /// dracos                                            1
dracos /// goyle                                            1
dracos /// rony                                             1
crabbe /// dracos                                           1
draco /// malfoy                                            1
potter /// weasley                                          1
goyle /// hermione                                          1
crabbe /// hermione                                         1
goyle /// snape                                             1
crabbe /// snape                                            1
crabbe /// neville                                          1
dumbledore /// grifinória                                   1
grifinória /// snape                                        1
hagrid /// severo                                           1
imagino /// snape                                           1
imagino /// quirrell                                        1
quirrell /// rony                                           1
dumbledore /// quirrell                                     1
edwiges /// hagrid                                          1
hagrid /// herbologia                                       1
decidi /// hagrid                                           1
